,inn__investor,name__investor,type__investor,startup_stage__investor,market__investor,services__investor,technologies__investor,type_of_ownership__investor,investment_round__investor,investition_from_dol__investor,investition_to_dol__investor,tech_focus__investor,fund_total_rub__investor,fund_total_dol__investor,num_of_investments__investor,num_of_exits__investor,geography__investor,study_format__investor,num_of_people_in_company_from__investor,num_of_people_in_company_to__investor,num_of_participants__investor,okved_main__investor,okved_secondary__investor,corp_stage__investor,business_model__investor,monetary_support__investor,inn__company,name__company,got_support_from__company,did_get_support__company,service__company,foundation_date__company,tech_focus__company,stage_of_development__company,market__company,technology__company,business_model__company,main_okved__company,okved_secondary__company,msp_category__company,is_export__company,inno_cluster_member__company,skolcovo_member__company,is_inno_company__company,is_startup__company,current_profit__company,current_profit_tax__company,current_revenue__company
0,7703638456,da vinci capital,VentureFund,"['ранний рост', 'расширение']","['cybersecurity', 'transport & logistics', 'business software', 'consumer goods & services', 'fintech']",['инвестиции'],"['ar/vr', 'big data', 'блокчейн', 'интернет вещей', 'искусственный интеллект и машинное обучение']",частный,"['раунд а', 'раунд в', 'раунд с+']",1000000.0,50000000.0,[],25000.0,397.0,17.0,2.0,,,,,,,,,,,7704794345,"ооо ""геттакси рус""",карта инновационных решений,да,добавлено - карта инновационных решений,2011-11-03,['транспорт и логистика'],расширение,['transport & logistics'],[],['b2c'],62.09,"['82.99', '46.19', '63.11.1', '47.91.2', '69.20.2', '46.18.99', '47.91.3', '47.91.4', '63.11', '62.09']",,нет,да,нет,да,нет,-23.0,-15.0,1507.0
1,7728461088,new industry ventures,VentureFund,"['ранний рост', 'расширение', 'посевная']",['cleantech'],['инвестиции'],"['3d моделирование', 'big data', 'интернет вещей', 'новые материалы']",частный,"['seed', 'раунд а', 'раунд в']",500000.0,3000000.0,[],4000.0,62.0,1.0,0.0,,,,,,,,,,,7714762021,"ооо ""скайер ит""",московский акселератор,нет,московский акселератор,2008-12-23,['недвижимость и строительство'],ранний рост,['proptech'],['беспилотники'],['b2b'],72.19,"['62.09', '85.42', '62.02', '63.11.1', '30.30.11', '63.11.9', '77.35', '30.30.14', '33.16', '63.11', '30.30.5', '71.12.41', '71.12.4', '30.30.1', '52.23', '30.30', '71.12.44', '52.23.19', '85.30', '30.30.3', '62.03', '71.12', '74.20', '71.12.5', '63.99.1', '62.01', '30.30.2', '72.19', '28.99.3']",юл микро,нет,да,да,да,нет,-16450.0,0.0,19127.0
2,7728461088,new industry ventures,VentureFund,"['ранний рост', 'расширение', 'посевная']",['cleantech'],['инвестиции'],"['3d моделирование', 'big data', 'интернет вещей', 'новые материалы']",частный,"['seed', 'раунд а', 'раунд в']",500000.0,3000000.0,[],4000.0,62.0,1.0,0.0,,,,,,,,,,,7714762021,"ооо ""радуга""",карта инновационных решений,да,добавлено - карта инновационных решений,2008-12-23,['недвижимость и строительство'],ранний рост,['proptech'],['беспилотники'],['b2b'],72.19,"['62.09', '85.42', '62.02', '63.11.1', '30.30.11', '63.11.9', '77.35', '30.30.14', '33.16', '63.11', '30.30.5', '71.12.41', '71.12.4', '30.30.1', '52.23', '30.30', '71.12.44', '52.23.19', '85.30', '30.30.3', '62.03', '71.12', '74.20', '71.12.5', '63.99.1', '62.01', '30.30.2', '72.19', '28.99.3']",юл микро,нет,да,да,да,нет,-16450.0,0.0,19127.0
3,7728461088,new industry ventures,VentureFund,"['ранний рост', 'расширение', 'посевная']",['cleantech'],['инвестиции'],"['3d моделирование', 'big data', 'интернет вещей', 'новые материалы']",частный,"['seed', 'раунд а', 'раунд в']",500000.0,3000000.0,[],4000.0,62.0,1.0,0.0,,,,,,,,,,,9731001888,"ооо ""нвиай солюшенс """,карта инновационных решений,да,добавлено - карта инновационных решений,2018-05-14,"['безопасность', 'промышленность и индустрия 4.0']",ранний рост,"['business software', 'safetytech']","['искусственный интеллект и машинное обучение', 'компьютерное зрение']",['b2b'],62.01,"['58.29', '71.20', '46.51', '72.19.9', '46.51.1', '72.20.1', '72.19', '46.51.2', '18.20', '63.11.1', '62.02', '72.20.2', '72.19.4', '62.01']",юл микро,нет,да,нет,да,да,12603.0,1864.0,0.0
4,0,addventure,VentureFund,"['ранний рост', 'расширение']","['hrtech', 'consumer goods & services', 'foodtech', 'healthcare']",['инвестиции'],"['3d моделирование', 'ar/vr', 'big data', 'аддитивные технологии', 'беспилотники', 'биометрия', 'биотехнологии', 'блокчейн', 'зеленые технологии', 'интернет вещей', 'искусственный интеллект и машинное обучение', 'компьютерное зрение', 'нанотехнологии', 'нейротехнологии', 'новые и портативные источники энергии', 'новые материалы', 'робототехника']",частный,"['раунд а', 'раунд в', 'раунд с+']",1000000.0,10000000.0,[],0.0,0.0,45.0,5.0,,,,,,,,,,,7106021081,"ооо ""бестдоктор""",карта инновационных решений,да,добавлено - карта инновационных решений,2015-03-10,['healthtech'],расширение,"['healthcare', 'insurancetech']",[],['b2b'],86.90,"['66.29.1', '63.99', '62.09', '64.92', '72.19', '66.30.9', '73.11', '63.11', '82.99', '62.01', '64.99', '63.12', '63.11.1', '62.02', '61.20', '82.19', '58.29', '86.90']",юл малое,нет,нет,да,да,да,-326643.0,0.0,-51558.0
5,0,addventure,VentureFund,"['ранний рост', 'расширение']","['hrtech', 'consumer goods & services', 'foodtech', 'healthcare']",['инвестиции'],"['3d моделирование', 'ar/vr', 'big data', 'аддитивные технологии', 'беспилотники', 'биометрия', 'биотехнологии', 'блокчейн', 'зеленые технологии', 'интернет вещей', 'искусственный интеллект и машинное обучение', 'компьютерное зрение', 'нанотехнологии', 'нейротехнологии', 'новые и портативные источники энергии', 'новые материалы', 'робототехника']",частный,"['раунд а', 'раунд в', 'раунд с+']",1000000.0,10000000.0,[],0.0,0.0,45.0,5.0,,,,,,,,,,,7106021081,"ооо ""бестдоктор""",карта инновационных решений,да,добавлено - карта инновационных решений,2015-03-10,['healthtech'],расширение,"['healthcare', 'insurancetech']",[],['b2b'],86.90,"['66.29.1', '63.99', '62.09', '64.92', '72.19', '66.30.9', '73.11', '63.11', '82.99', '62.01', '64.99', '63.12', '63.11.1', '62.02', '61.20', '82.19', '58.29', '86.90']",юл малое,нет,нет,да,да,да,-326643.0,0.0,-51558.0
6,0,addventure,VentureFund,"['ранний рост', 'расширение']","['hrtech', 'consumer goods & services', 'foodtech', 'healthcare']",['инвестиции'],"['3d моделирование', 'ar/vr', 'big data', 'аддитивные технологии', 'беспилотники', 'биометрия', 'биотехнологии', 'блокчейн', 'зеленые технологии', 'интернет вещей', 'искусственный интеллект и машинное обучение', 'компьютерное зрение', 'нанотехнологии', 'нейротехнологии', 'новые и портативные источники энергии', 'новые материалы', 'робототехника']",частный,"['раунд а', 'раунд в', 'раунд с+']",1000000.0,10000000.0,[],0.0,0.0,45.0,5.0,,,,,,,,,,,7106021081,"ооо ""бестдоктор""",карта инновационных решений,да,добавлено - карта инновационных решений,2015-03-10,['healthtech'],расширение,"['healthcare', 'insurancetech']",[],['b2b'],86.90,"['66.29.1', '63.99', '62.09', '64.92', '72.19', '66.30.9', '73.11', '63.11', '82.99', '62.01', '64.99', '63.12', '63.11.1', '62.02', '61.20', '82.19', '58.29', '86.90']",юл малое,нет,нет,да,да,да,-326643.0,0.0,-51558.0
7,0,addventure,VentureFund,"['ранний рост', 'расширение']","['hrtech', 'consumer goods & services', 'foodtech', 'healthcare']",['инвестиции'],"['3d моделирование', 'ar/vr', 'big data', 'аддитивные технологии', 'беспилотники', 'биометрия', 'биотехнологии', 'блокчейн', 'зеленые технологии', 'интернет вещей', 'искусственный интеллект и машинное обучение', 'компьютерное зрение', 'нанотехнологии', 'нейротехнологии', 'новые и портативные источники энергии', 'новые материалы', 'робототехника']",частный,"['раунд а', 'раунд в', 'раунд с+']",1000000.0,10000000.0,[],0.0,0.0,45.0,5.0,,,,,,,,,,,7106021081,"ооо ""бестдоктор""",карта инновационных решений,да,добавлено - карта инновационных решений,2015-03-10,['healthtech'],расширение,"['healthcare', 'insurancetech']",[],['b2b'],86.90,"['66.29.1', '63.99', '62.09', '64.92', '72.19', '66.30.9', '73.11', '63.11', '82.99', '62.01', '64.99', '63.12', '63.11.1', '62.02', '61.20', '82.19', '58.29', '86.90']",юл малое,нет,нет,да,да,да,-326643.0,0.0,-51558.0
8,7731438931,target global,VentureFund,"['ранний рост', 'расширение', 'посевная']","['transport & logistics', 'business software', 'e-commerce', 'fintech', 'healthcare']",['инвестиции'],['искусственный интеллект и машинное обучение'],частный,"['seed', 'раунд а', 'раунд в', 'раунд с+']",300000.0,50000000.0,[],0.0,0.0,103.0,13.0,,,,,,,,,,,7106021081,"ооо ""бестдоктор""",карта инновационных решений,да,добавлено - карта инновационных решений,2015-03-10,['healthtech'],расширение,"['healthcare', 'insurancetech']",[],['b2b'],86.90,"['66.29.1', '63.99', '62.09', '64.92', '72.19', '66.30.9', '73.11', '63.11', '82.99', '62.01', '64.99', '63.12', '63.11.1', '62.02', '61.20', '82.19', '58.29', '86.90']",юл малое,нет,нет,да,да,да,-326643.0,0.0,-51558.0
9,7731438931,target global,VentureFund,"['ранний рост', 'расширение', 'посевная']","['transport & logistics', 'business software', 'e-commerce', 'fintech', 'healthcare']",['инвестиции'],['искусственный интеллект и машинное обучение'],частный,"['seed', 'раунд а', 'раунд в', 'раунд с+']",300000.0,50000000.0,[],0.0,0.0,103.0,13.0,,,,,,,,,,,7106021081,"ооо ""бестдоктор""",карта инновационных решений,да,добавлено - карта инновационных решений,2015-03-10,['healthtech'],расширение,"['healthcare', 'insurancetech']",[],['b2b'],86.90,"['66.29.1', '63.99', '62.09', '64.92', '72.19', '66.30.9', '73.11', '63.11', '82.99', '62.01', '64.99', '63.12', '63.11.1', '62.02', '61.20', '82.19', '58.29', '86.90']",юл малое,нет,нет,да,да,да,-326643.0,0.0,-51558.0
